model,instrument_a,instrument_b,noise_type,mean_confusion_increase_auc,min_confusion_increase_auc,max_confusion_increase_auc,n_replicates
svm,bassoon,cello,white,0.00644329896907,0.00601374570447,0.00687285223368,2
svm,bassoon,clarinet,white,0.0287800687285,0.0268470790378,0.0307130584192,2
svm,bassoon,double-bass,white,0,0,0,2
svm,bassoon,flute,white,0.125751718213,0.124785223368,0.126718213058,2
svm,bassoon,french-horn,white,0.0090206185567,0.00816151202749,0.00987972508591,2
svm,bassoon,oboe,white,-0.0133161512027,-0.0133161512027,-0.0133161512027,2
svm,bassoon,trombone,white,0.0979381443299,0.0957903780069,0.100085910653,2
svm,bassoon,trumpet,white,-0.00622852233677,-0.00644329896907,-0.00601374570447,2
svm,bassoon,tuba,white,0,0,0,2
svm,bassoon,viola,white,0,0,0,2
svm,bassoon,violin,white,0.15625,0.155713058419,0.156786941581,2
svm,cello,clarinet,white,0.0243259563912,0.0239636375506,0.0246882752318,2
svm,cello,double-bass,white,-0.00652173913043,-0.00688405797101,-0.00615942028986,2
svm,cello,flute,white,0.148188405797,0.147282608696,0.149094202899,2
svm,cello,french-horn,white,0,0,0,2
svm,cello,oboe,white,0,0,0,2
svm,cello,trombone,white,0,0,0,2
svm,cello,trumpet,white,0.00670289855072,0.00652173913043,0.00688405797101,2
svm,cello,tuba,white,0.0235215053763,0.0218413978495,0.0252016129032,2
svm,cello,viola,white,0.00398550724638,0.0036231884058,0.00434782608696,2
svm,cello,violin,white,0.165326929558,0.163153016515,0.167500842602,2
svm,clarinet,double-bass,white,0.0654891304348,0.0652173913043,0.0657608695652,2
svm,clarinet,flute,white,0.246946465696,0.245351120351,0.248541811042,2
svm,clarinet,french-horn,white,0.0366465863454,0.0363955823293,0.0368975903614,2
svm,clarinet,oboe,white,0.0356012658228,0.0350738396624,0.0361286919831,2
svm,clarinet,trombone,white,0.0405701754386,0.0387426900585,0.0423976608187,2
svm,clarinet,trumpet,white,0.0410371910372,0.0406935781936,0.0413808038808,2
svm,clarinet,tuba,white,0.101142473118,0.100806451613,0.101478494624,2
svm,clarinet,viola,white,0.0206367924528,0.0204402515723,0.0208333333333,2
svm,clarinet,violin,white,0.0983723549131,0.0975277603185,0.0992169495076,2
svm,double-bass,flute,white,0.251630434783,0.249637681159,0.253623188406,2
svm,double-bass,french-horn,white,0,0,0,2
svm,double-bass,oboe,white,0,0,0,2
svm,double-bass,trombone,white,0,0,0,2
svm,double-bass,trumpet,white,0.00172101449275,0.00163043478261,0.0018115942029,2
svm,double-bass,tuba,white,0.000672043010753,0.000672043010753,0.000672043010753,2
svm,double-bass,viola,white,0.00253623188406,0.00253623188406,0.00253623188406,2
svm,double-bass,violin,white,0.0975733063701,0.0953993933266,0.0997472194135,2
svm,flute,french-horn,white,0.102284136546,0.100652610442,0.103915662651,2
svm,flute,oboe,white,0.341508438819,0.340189873418,0.342827004219,2
svm,flute,trombone,white,0.118877923977,0.117872807018,0.119883040936,2
svm,flute,trumpet,white,0.18912037037,0.188710826211,0.18952991453,2
svm,flute,tuba,white,0.200772849462,0.199596774194,0.201948924731,2
svm,flute,viola,white,0.235947327044,0.233687106918,0.23820754717,2
